GroupID,GroupSize,nfemales,nmales,SexRatiomf,CaptureStart,CompleteCapture,SessRef,CaptureStart2,WithinGroupRecruits,WithinGroupRecruitsF,WithinGroupRecruitsM,TimeToNextCap,QueenAge,QueenID
Kuruman 43,5,3,2,0.4,2019-03-19,1,433,2019-09-16,3,2,1,181,1314,KR13F038
Kuruman 35,5,3,2,0.4,2019-04-04,1,443,2019-10-06,2,1,1,185,1458,KR13F040
Kuruman 10,19,3,16,0.8421052631578947,2019-09-09,1,454,2020-03-08,0,0,0,181,3202,KR10F004
Kuruman 34,8,4,4,0.5,2019-09-09,1,453,2020-03-31,0,0,0,204,1556,KR13F043
Kuruman 28,8,5,3,0.375,2019-09-16,1,457,2020-03-16,5,4,1,182,1941,KR28F001
Kuruman 39,6,1,5,0.8333333333333334,2019-09-16,1,455,2020-03-16,1,0,1,182,2251,KR13F019
Kuruman 11,20,10,10,0.5,2019-09-23,1,461,2020-03-30,0,0,0,189,2720,KR11F001
Kuruman 24,3,2,1,0.3333333333333333,2019-09-23,1,460,2020-03-30,0,0,0,189,2326,KR1F015
Kuruman 45,2,1,1,0.5,2019-09-30,1,462,2020-03-23,1,0,1,175,912,KR45F001
Kuruman 7,11,6,5,0.4545454545454546,2019-09-30,1,465,2020-05-20,1,0,1,233,2855,KR7F007
Kuruman 35,7,4,3,0.42857142857142855,2019-10-06,1,467,2020-04-13,3,1,2,190,1643,KR13F040
Kuruman 42,7,4,3,0.42857142857142855,2019-10-06,1,469,2020-03-08,0,0,0,154,1248,KR1F022
Kuruman 33,7,5,2,0.2857142857142857,2019-10-07,1,470,2020-04-15,0,0,0,191,1969,KR1F019
Kuruman 8,15,7,8,0.5333333333333333,2019-10-15,1,474,2020-04-20,7,6,1,188,1109,KR8F012
Kuruman 26,13,7,6,0.4615384615384616,2019-10-17,1,477,2020-05-04,0,0,0,200,2122,KR13F025
Kuruman 49,17,8,9,0.5294117647058824,2019-10-28,1,486,2020-05-19,3,1,2,204,1823,KR49F016
Kuruman 19,12,6,6,0.5,2019-11-15,1,496,2020-04-28,0,0,0,165,2851,KR13F017
Kuruman 31,13,7,6,0.4615384615384616,2019-11-23,1,497,2020-04-20,2,1,1,149,994,KR31F005
