AnimalID	GroupID	Location	TrappingPeriod	DateofCapture	CaptureStart	CaptureEnd	GroupSize	Sex	weight	Rainfall	firstcapturedate	censor	Time.days	Time.years	statecode	state	id	SessRef	SexRatiomf	ScaledWeight	Scale_sexratio	Rainfall.s
KR10M023	Kuruman 10	KRR	9	0018-03-20	2018-03-17	0020-03-20	17	Male	113	121.7158381	2017-08-19	NA	211	0.577686516	ingroupnonbreeder	1	158	358	0.8823529411764706	0.6941438301619056	0.38235294117647056	0.9662332674199685
KR10M023	Kuruman 10	KRR	10	0005-10-20	2018-10-02	0010-10-20	16	Male	140	11.76823613	2017-08-19	NA	412	1.127994524	ingroupnonbreeder	1	158	399	0.8125	1.3803538195683767	0.3125	-0.8641746208105754
KR10M023	Kuruman 10	KRR	11	0013-03-20	2019-03-12	0017-03-20	20	Male	143	69.35182863	2017-08-19	NA	571	1.563312799	ingroupnonbreeder	1	158	428	0.8	1.4565993739468734	0.30000000000000004	0.09447713744616895
KR10M023	Kuruman 10	KRR	12	0009-09-20	2019-09-09	0010-09-20	19	Male	124	0.397720048	2017-08-19	NA	751	2.056125941	ingroupnonbreeder	1	158	454	0.8421052631578947	0.9737108628830605	0.3421052631578947	-1.0534709943269704
KR10M023	Kuruman 10	KRR	13	0012-03-20	2020-03-08	0012-03-20	16	Male	144	165.6746387	2017-08-19	NA	936	2.562628337	ingroupnonbreeder	1	158	503	0.8125	1.4820145587397058	0.3125	1.6980594640235869
KR10M023	Kuruman 10	KRR	NA	0027-05-20	2020-05-27	NA	NA	Male	NA	64.81177172	2017-08-19	99	1012	2.770704997	ingroupnonbreeder	99	158	NA	NA	NA	NA	0.018894261310797827
KR10M025	Kuruman 10	KRR	8	0021-08-20	2017-08-19	0022-08-20	12	Male	24	1.34743409	2017-08-19	NA	0	0	ingroupnonbreeder	1	159	337	0.75	-1.5678076164001657	0.25	-1.0376601531363236
KR10M025	Kuruman 10	KRR	9	0019-03-20	2018-03-17	0020-03-20	17	Male	84	121.7158381	2017-08-19	NA	212	0.580424367	ingroupnonbreeder	1	159	358	0.8823529411764706	-0.04289652883022999	0.38235294117647056	0.9662332674199685
KR10M025	Kuruman 10	KRR	10	0006-10-20	2018-10-02	0010-10-20	16	Male	96	11.76823613	2017-08-19	NA	413	1.130732375	ingroupnonbreeder	1	159	399	0.8125	0.26208568868375715	0.3125	-0.8641746208105754
KR10M025	Kuruman 10	KRR	11	0014-03-20	2019-03-12	0017-03-20	20	Male	112	69.35182863	2017-08-19	NA	572	1.56605065	ingroupnonbreeder	1	159	428	0.8	0.6687286453690734	0.30000000000000004	0.09447713744616895
KR10M025	Kuruman 10	KRR	12	0010-09-20	2019-09-09	0010-09-20	19	Male	108	0.397720048	2017-08-19	NA	752	2.058863792	ingroupnonbreeder	1	159	454	0.8421052631578947	0.5670679061977443	0.3421052631578947	-1.0534709943269704
KR10M025	Kuruman 10	KRR	13	0011-03-20	2020-03-08	0012-03-20	16	Male	121	165.6746387	2017-08-19	NA	935	2.559890486	ingroupnonbreeder	1	159	503	0.8125	0.8974653085045637	0.3125	1.6980594640235869
KR10M025	Kuruman 10	KRR	NA	0027-05-20	2020-05-27	NA	NA	Male	NA	64.81177172	2017-08-19	99	1012	2.770704997	ingroupnonbreeder	99	159	NA	NA	NA	NA	0.018894261310797827
KR10M026	Kuruman 10	KRR	9	0019-03-20	2018-03-17	0020-03-20	17	Male	60	121.7158381	2018-03-17	NA	0	0	ingroupnonbreeder	1	172	358	0.8823529411764706	-0.6528609638582042	0.38235294117647056	0.9662332674199685
