AnimalID,SessRef,Sex,GroupID,GroupSize,SexRatiomf,CaptureStart,SessRef2,DateofCapture,DateofCapture2,weight,weight1,rate,timediff,TeethWidth,massindex
KR11M009,461,Male,Kuruman 11,20,0.5,2019-09-23,515,2019-09-24,2020-03-30,137,126,-0.0585106382978723,188,6.535,82.62506744837553
KR11M010,338,Male,Kuruman 11,11,0.4545454545454546,2017-08-19,359,2017-08-20,2018-03-18,29,105,0.361904761904762,210,2.29,127.9423111508289
KR11M010,426,Male,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-14,2019-04-08,159,133,-0.13265306122449,25,6.125,108.4396954267656
KR11M010,461,Male,Kuruman 11,20,0.5,2019-09-23,515,2019-09-26,2020-04-01,133,132,-0.00531914893617021,188,6.3149999999999995,85.59841478211176
KR11M011,338,Male,Kuruman 11,11,0.4545454545454546,2017-08-19,359,2017-08-20,2018-03-18,28,92,0.304761904761905,210,2.365,116.20233788718603
KR11M011,359,Male,Kuruman 11,15,0.4,2018-03-17,400,2018-03-18,2018-10-03,92,117,0.125628140703518,199,4.79,100.04512231544646
KR11M011,426,Male,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-13,2019-04-07,139,117,-0.112820512820513,25,5.865,102.93301655832
KR11M011,461,Male,Kuruman 11,20,0.5,2019-09-23,515,2019-09-24,2020-04-01,117,112,-0.0263157894736842,190,5.965,83.9058303604886
KR11M012,359,Female,Kuruman 11,15,0.4,2018-03-17,400,2018-03-18,2018-10-03,45,89,0.221105527638191,199,3.79,76.31469196138843
KR11M012,426,Female,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-13,2019-04-07,100,90,-0.0510204081632653,25,5.4,86.61995202289077
KR11M012,461,Female,Kuruman 11,20,0.5,2019-09-23,515,2019-09-25,2020-03-30,90,90,0,187,5.415,77.54866128058032
KR11M014,359,Male,Kuruman 11,15,0.4,2018-03-17,426,2018-03-20,2019-03-14,48,111,0.175487465181058,359,3.5,94.67647101238536
KR11M014,426,Male,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-14,2019-04-08,111,101,-0.0512820512820513,25,5.59,90.04122462707575
KR11M014,461,Male,Kuruman 11,20,0.5,2019-09-23,515,2019-09-25,2020-03-30,101,93,-0.0427807486631016,187,5.715,78.56219542508553
KR11M017,426,Male,Kuruman 11,22,0.4545454545454546,2019-03-12,444,2019-03-14,2019-04-06,92,87,-0.0259067357512953,23,5.4399999999999995,78.58206195993498
